domain,stage,raw_label_or_group,proposed_canonical,score_or_na,verdict,reason
Software Engineering,synonym,ab testing design patterns,design patterns,0.667,APPROVED,"ab testing design patterns are a specific kind of design pattern usage, same subject"
Software Engineering,synonym,ads in developer tools,developer tools,0.667,APPROVED,"ads in developer tools is a specific aspect of developer tools, same subject"
Software Engineering,synonym,agent developer tools,developer tools,0.667,APPROVED,"agent developer tools are a subset of developer tools, same subject"
Software Engineering,synonym,agent sdk development,sdk development,0.667,APPROVED,"agent sdk development is a specific case of sdk development, same subject"
Software Engineering,synonym,agent system development,agent software development,0.5,APPROVED,"agent system development is a facet of agent software development, same subject"
Software Engineering,synonym,agentic workflows sdls,agentic workflows,0.667,APPROVED,"agentic workflows sdls are a specific aspect of agentic workflows, same subject"
Software Engineering,synonym,ai product updates,ai product development,0.5,APPROVED,"ai product updates are part of ai product development, same subject"
Software Engineering,synonym,ai product usability,ai product development,0.5,APPROVED,"ai product usability is an angle on ai product development, same subject"
Software Engineering,synonym,ai product visibility,ai product development,0.5,APPROVED,"ai product visibility is an aspect of ai product development, same subject"
Software Engineering,synonym,api development challenges,api development,0.667,APPROVED,"api development challenges are an angle on api development, same subject"
Software Engineering,synonym,api development frameworks,api development,0.667,APPROVED,"api development frameworks are a facet of api development, same subject"
Software Engineering,synonym,api documentation issues,api documentation practices,0.5,APPROVED,"api documentation issues relate to api documentation practices, same subject"
Software Engineering,synonym,api reliability challenges,api design challenges,0.5,APPROVED,"api reliability challenges are a type of api design challenges, same subject"
Software Engineering,synonym,api usage challenges,api design challenges,0.5,APPROVED,"api usage challenges relate to api design challenges, same subject"
Software Engineering,synonym,api versioning design,api design,0.667,APPROVED,"api versioning design is a facet of api design, same subject"
Software Engineering,synonym,app notarization challenges,app development challenges,0.5,APPROVED,app notarization challenges are a specific type of app development challenge
Software Engineering,synonym,app release process,software release process,0.5,APPROVED,app release process is a specific instance of software release process
Software Engineering,synonym,app subscription testing,app testing methods,0.5,APPROVED,app subscription testing is a specific method within app testing methods
Software Engineering,synonym,appsec developer tools,developer tools,0.667,APPROVED,appsec developer tools are a subset of developer tools focused on app security
Software Engineering,synonym,async data fetching,frontend data fetching,0.5,APPROVED,async data fetching is a specific technique within frontend data fetching
Software Engineering,synonym,aws lambda concurrency,aws lambda usage,0.5,APPROVED,aws lambda concurrency is a specific aspect of aws lambda usage
Software Engineering,synonym,aws lambda functions,aws lambda usage,0.5,APPROVED,aws lambda functions are a facet of aws lambda usage
Software Engineering,synonym,aws lambda monitoring,aws lambda usage,0.5,APPROVED,aws lambda monitoring is an angle on aws lambda usage
Software Engineering,synonym,browser automation tools,automation tools,0.667,APPROVED,browser automation tools are a subset of automation tools
Software Engineering,synonym,browser game development,game development,0.667,APPROVED,browser game development is a specific type of game development
Software Engineering,synonym,build system comparison,build system improvements,0.5,APPROVED,build system comparison is an aspect of build system improvements
Software Engineering,synonym,buildkite feature release,feature release announcements,0.5,APPROVED,buildkite feature release is a specific instance of feature release announcements
Software Engineering,synonym,celery deployment kubernetes,kubernetes deployment,0.667,APPROVED,celery deployment kubernetes is a specific case of kubernetes deployment
Software Engineering,synonym,ci/cd pipeline testing issues,ci/cd pipeline development,0.5,APPROVED,"pipeline testing issues are a specific aspect of pipeline development, same underlying subject"
Software Engineering,synonym,ci/cd pipeline trust,ci/cd pipeline development,0.6,APPROVED,"pipeline trust is a specific aspect of pipeline development, same underlying subject"
