domain,stage,raw_label_or_group,proposed_canonical,score_or_na,verdict,reason,manual_verdict,manual_reason
Software Engineering,synonym,ab testing design patterns,design patterns,0.667,APPROVED,"ab testing design patterns are a specific kind of design pattern usage, same subject",APPROVE,'ab testing design patterns' is a more specific facet of the same subject 'design patterns'.
Software Engineering,synonym,ads in developer tools,developer tools,0.667,APPROVED,"ads in developer tools is a specific aspect of developer tools, same subject",APPROVE,'ads in developer tools' is a more specific facet of the same subject 'developer tools'.
Software Engineering,synonym,agent developer tools,developer tools,0.667,APPROVED,"agent developer tools are a subset of developer tools, same subject",APPROVE,'agent developer tools' is a more specific facet of the same subject 'developer tools'.
Software Engineering,synonym,agent development stack,agent software development,0.5,APPROVED,"agent development stack is a specific facet of agent software development, same subject",APPROVE,'agent development stack' and 'agent software development' share the same domain subject 'agent' with compatible facets.
Software Engineering,synonym,agent sdk development,sdk development,0.667,APPROVED,"agent sdk development is a specific type of sdk development, same subject",APPROVE,'agent sdk development' is a more specific facet of the same subject 'sdk development'.
Software Engineering,synonym,agent system development,agent software development,0.5,APPROVED,"agent system development is part of agent software development, same subject",APPROVE,'agent system development' and 'agent software development' share the same domain subject 'agent' with compatible facets.
Software Engineering,synonym,agentic workflows sdls,agentic workflows,0.667,APPROVED,"agentic workflows sdls are a specific aspect of agentic workflows, same subject",APPROVE,'agentic workflows sdls' is a more specific facet of the same subject 'agentic workflows'.
Software Engineering,synonym,ai product updates,ai product development,0.5,APPROVED,"ai product updates are part of ai product development, same subject",APPROVE,'ai product updates' and 'ai product development' share the same two-word subject head 'ai product'.
Software Engineering,synonym,ai product usability,ai product development,0.5,APPROVED,"ai product usability is an angle on ai product development, same subject",APPROVE,'ai product usability' and 'ai product development' share the same two-word subject head 'ai product'.
Software Engineering,synonym,ai product visibility,ai product development,0.5,APPROVED,"ai product visibility is an aspect of ai product development, same subject",APPROVE,'ai product visibility' and 'ai product development' share the same two-word subject head 'ai product'.
Software Engineering,synonym,api development challenges,api development,0.667,APPROVED,"api development challenges are an angle on api development, same subject",APPROVE,'api development challenges' is a more specific facet of the same subject 'api development'.
Software Engineering,synonym,api development frameworks,api development,0.667,APPROVED,"api development frameworks are a facet of api development, same subject",APPROVE,'api development frameworks' is a more specific facet of the same subject 'api development'.
Software Engineering,synonym,api usage optimization,api performance optimization,0.5,APPROVED,"api usage optimization is a specific aspect of api performance optimization, same subject",APPROVE,'api usage optimization' and 'api performance optimization' share the same 'api' domain subject with different facets.
Software Engineering,synonym,api versioning design,api design,0.667,APPROVED,"api versioning design is a specific aspect of api design, same subject",APPROVE,'api versioning design' and 'api design' share the same 'api' domain subject with different facets.
Software Engineering,synonym,app notarization challenges,app development challenges,0.5,APPROVED,app notarization challenges are a specific type of app development challenges,APPROVE,'app notarization challenges' and 'app development challenges' share the same 'app' domain subject with different facets.
Software Engineering,synonym,app release process,software release process,0.5,APPROVED,app release process is a specific instance of software release process,APPROVE,'app release process' and 'software release process' concern the same release-process subject at different specificity.
Software Engineering,synonym,app size differences,app size optimization,0.5,APPROVED,app size differences relate to app size optimization as a specific aspect,APPROVE,'app size differences' and 'app size optimization' share the same domain subject 'app size' with compatible facets.
Software Engineering,synonym,app subscription testing,app testing methods,0.5,APPROVED,app subscription testing is a specific method within app testing methods,APPROVE,'app subscription testing' and 'app testing methods' share the same 'app' domain subject with different facets.
Software Engineering,synonym,appsec developer tools,developer tools,0.667,APPROVED,appsec developer tools are a subset of developer tools,APPROVE,'appsec developer tools' is a more specific facet of the same subject 'developer tools'.
Software Engineering,synonym,async data fetching,frontend data fetching,0.5,APPROVED,async data fetching is a specific type of frontend data fetching,REJECT,"'async data fetching' and 'frontend data fetching' do not share the same underlying technology, product, or subject."
Software Engineering,synonym,aws lambda concurrency,aws lambda usage,0.5,APPROVED,aws lambda concurrency is a specific aspect of aws lambda usage,APPROVE,'aws lambda concurrency' and 'aws lambda usage' share the same two-word subject head 'aws lambda'.
Software Engineering,synonym,aws lambda functions,aws lambda usage,0.5,APPROVED,aws lambda functions are part of aws lambda usage,APPROVE,'aws lambda functions' and 'aws lambda usage' share the same two-word subject head 'aws lambda'.
Software Engineering,synonym,aws lambda monitoring,aws lambda usage,0.5,APPROVED,aws lambda monitoring is an aspect of aws lambda usage,APPROVE,'aws lambda monitoring' and 'aws lambda usage' share the same two-word subject head 'aws lambda'.
Software Engineering,synonym,browser automation tools,automation tools,0.667,APPROVED,browser automation tools are a subset of automation tools,APPROVE,'browser automation tools' is a more specific facet of the same subject 'automation tools'.
Software Engineering,synonym,browser game development,game development,0.667,APPROVED,browser game development is a specific type of game development,APPROVE,'browser game development' is a more specific facet of the same subject 'game development'.
Software Engineering,synonym,build system comparison,build system improvements,0.5,APPROVED,build system comparison is related to build system improvements,REJECT,Comparing build systems is a different activity from improving build systems.
Software Engineering,synonym,buildkite feature release,feature and release management,0.5,APPROVED,buildkite feature release is a specific case of feature and release management,REJECT,"'buildkite feature release' and 'feature and release management' do not share the same underlying technology, product, or subject."
Software Engineering,synonym,celery deployment kubernetes,kubernetes deployment,0.667,APPROVED,celery deployment kubernetes is a specific case of kubernetes deployment,APPROVE,'celery deployment kubernetes' and 'kubernetes deployment' concern the same Kubernetes subject with different facets.
Software Engineering,synonym,ci/cd pipeline testing issues,ci/cd pipeline development,0.5,APPROVED,pipeline testing issues are a specific aspect of pipeline development,APPROVE,'ci/cd pipeline testing issues' and 'ci/cd pipeline development' share the same domain subject 'ci/cd' with compatible facets.
Software Engineering,synonym,ci/cd pipeline trust,ci/cd pipeline development,0.6,APPROVED,pipeline trust is an aspect of pipeline development,APPROVE,'ci/cd pipeline trust' and 'ci/cd pipeline development' share the same domain subject 'ci/cd pipeline trust' with compatible facets.
Software Engineering,synonym,clean code practices,code review practices,0.5,APPROVED,"clean code practices are part of code review practices, both about code quality",REJECT,Clean code and code review are distinct engineering practices.
Software Engineering,synonym,cli user experience,user experience issues,0.5,APPROVED,cli user experience is a specific instance of user experience issues,APPROVE,'cli user experience' is a specific scope of the same user-experience subject as 'user experience issues'.
Software Engineering,synonym,cli utility development,cli tool development,0.5,APPROVED,cli utility development is a facet of cli tool development,APPROVE,'cli utility development' and 'cli tool development' share the same domain subject 'cli' with compatible facets.
Software Engineering,synonym,cloud architecture migration,cloud migration,0.667,APPROVED,cloud architecture migration is a specific aspect of cloud migration,APPROVE,'cloud architecture migration' and 'cloud migration' share the same domain subject 'cloud' with compatible facets.
Software Engineering,synonym,cloud infrastructure complexity,cloud infrastructure adoption,0.5,APPROVED,infrastructure complexity is an aspect of infrastructure adoption,REJECT,Infrastructure complexity and adoption are different concerns.
Software Engineering,synonym,cloud infrastructure optimization,cloud cost optimization,0.5,APPROVED,infrastructure optimization is a facet of cost optimization in cloud,REJECT,Infrastructure optimization and cost optimization are different cloud subjects.
Software Engineering,synonym,cloud infrastructure strategy,cloud infrastructure adoption,0.5,APPROVED,infrastructure strategy is part of infrastructure adoption,APPROVE,'cloud infrastructure strategy' and 'cloud infrastructure adoption' share the same domain subject 'cloud infrastructure' with compatible facets.
Software Engineering,synonym,cloud migration strategies,cloud migration,0.667,APPROVED,migration strategies are part of cloud migration,APPROVE,'cloud migration strategies' is a more specific facet of the same subject 'cloud migration'.
Software Engineering,synonym,cloud migration tooling,cloud migration,0.667,APPROVED,migration tooling is a facet of cloud migration,APPROVE,'cloud migration tooling' is a more specific facet of the same subject 'cloud migration'.
Software Engineering,synonym,cloudformation developer experience,developer experience,0.667,APPROVED,cloudformation developer experience is a specific case of developer experience,APPROVE,'cloudformation developer experience' is a more specific facet of the same subject 'developer experience'.
Software Engineering,synonym,cms api development,api development,0.667,APPROVED,cms api development is a specific instance of api development,APPROVE,'cms api development' is a more specific facet of the same subject 'api development'.
Software Engineering,synonym,code documentation tools,documentation tools,0.667,APPROVED,code documentation tools are a subset of documentation tools,APPROVE,'code documentation tools' is a more specific facet of the same subject 'documentation tools'.
Software Engineering,synonym,code quality mindset,code quality practices,0.5,APPROVED,"mindset is an angle on code quality practices, same subject",APPROVE,'code quality mindset' and 'code quality practices' share the same domain subject 'code quality' with compatible facets.
Software Engineering,synonym,code readability feedback,code readability,0.667,APPROVED,feedback on code readability is part of code readability subject,APPROVE,'code readability feedback' is a more specific facet of the same subject 'code readability'.
Software Engineering,synonym,code refactoring techniques,code refactoring,0.667,APPROVED,"techniques are a facet of code refactoring, same subject",APPROVE,'code refactoring techniques' is a more specific facet of the same subject 'code refactoring'.
Software Engineering,synonym,code review strategies,code review practices,0.5,APPROVED,"strategies are an angle on code review practices, same subject",APPROVE,'code review strategies' and 'code review practices' share the same domain subject 'code review' with compatible facets.
Software Engineering,synonym,code review types,code review practices,0.5,APPROVED,"types are a facet of code review practices, same subject",APPROVE,'code review types' and 'code review practices' share the same domain subject 'code review' with compatible facets.
Software Engineering,synonym,code structure best practices,code review practices,0.5,APPROVED,best practices for code structure relate to code review practices,REJECT,Code structure and code review address different engineering subjects.
Software Engineering,synonym,community recognition,postgresql community recognition,0.667,APPROVED,"community recognition is the same subject as postgresql community recognition, just broader",APPROVE,'community recognition' is a narrower instance of the same subject 'postgresql community recognition'.
Software Engineering,synonym,community survey results,developer survey results,0.5,APPROVED,community survey results are a type of developer survey results,REJECT,"'community survey results' and 'developer survey results' do not share the same underlying technology, product, or subject."
Software Engineering,synonym,concurrency testing tools,testing tools,0.667,APPROVED,concurrency testing tools are a subset of testing tools,APPROVE,'concurrency testing tools' is a more specific facet of the same subject 'testing tools'.
Software Engineering,synonym,custom automation maintenance,code maintenance automation,0.5,APPROVED,custom automation maintenance is a specific aspect of code maintenance automation,REJECT,"'custom automation maintenance' and 'code maintenance automation' do not share the same underlying technology, product, or subject."
Software Engineering,synonym,custom control components,custom ui components,0.5,APPROVED,"custom control components are a specific type of custom UI components, same subject",APPROVE,'custom control components' and 'custom ui components' share the same domain subject 'custom' with compatible facets.
Software Engineering,synonym,custom programming tools,programming discipline tools,0.5,APPROVED,"custom programming tools are a subset of programming discipline tools, same subject",REJECT,"'custom programming tools' and 'programming discipline tools' do not share the same underlying technology, product, or subject."
Software Engineering,synonym,daemon naming conventions,code naming conventions,0.5,APPROVED,daemon naming conventions are a specific case of code naming conventions,APPROVE,'daemon naming conventions' and 'code naming conventions' concern the same naming-conventions subject at different specificity.
Software Engineering,synonym,dapr agents course,dapr agents development,0.5,APPROVED,"a course on dapr agents is related to dapr agents development, same subject",APPROVE,'dapr agents course' and 'dapr agents development' share the same two-word subject head 'dapr agents'.
Software Engineering,synonym,database storage engines,database storage basics,0.5,APPROVED,"storage engines are a core part of database storage basics, same subject",APPROVE,'database storage engines' and 'database storage basics' share the same domain subject 'database' with compatible facets.
Software Engineering,synonym,database storage experimentation,database storage basics,0.5,APPROVED,"storage experimentation is an aspect of database storage basics, same subject",APPROVE,'database storage experimentation' and 'database storage basics' share the same domain subject 'database' with compatible facets.
Software Engineering,synonym,database storage mechanisms,database storage basics,0.5,APPROVED,"storage mechanisms are part of database storage basics, same subject",APPROVE,'database storage mechanisms' and 'database storage basics' share the same domain subject 'database' with compatible facets.
